,SRR6853319,SRR6853320,SRR6853321,SRR6853322,SRR6853323,SRR6853324,SRR6853325,SRR6853326,SRR6853327,SRR6853328,SRR6853329,SRR6853330,SRR6853331,SRR6853332,SRR6853333,SRR6853334,SRR6853335,SRR6853336
FUN_028149,7,0,5,0,2,0,2,5,2,0,0,3,0,0,3,0,2,0
FUN_028148,8,17,12,2,6,7,13,6,7,0,3,0,6,2,6,5,3,6
FUN_003348,219,167,258,268,202,158,331,325,193,91,152,164,162,129,196,182,166,220
FUN_003349,1053,363,459,840,298,461,569,1366,519,314,309,563,487,306,180,436,682,156
FUN_028143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_003347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_003344,3,6,5,2,0,7,7,5,2,2,2,0,2,0,6,2,2,4
FUN_028140,5,6,7,10,12,6,16,12,0,4,0,13,0,11,0,8,0,9
FUN_028147,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
FUN_003343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_028145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_003341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_008019,772,836,1169,739,805,586,821,1132,572,333,607,495,604,702,484,482,612,836
FUN_013332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_013333,1634,1709,2569,1775,1990,1499,2060,2625,1666,900,1599,1097,1430,1351,1537,1438,1295,2562
FUN_013330,109,98,114,128,101,87,103,173,102,44,68,69,73,69,70,46,66,79
FUN_013331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_013336,16,13,20,17,10,14,15,23,9,9,8,9,18,9,24,13,11,23
FUN_013337,118,113,228,264,196,140,158,267,160,90,128,197,129,225,168,144,116,212
FUN_013334,4,2,5,5,12,10,7,6,5,6,10,6,11,23,8,5,5,14
FUN_013335,9649,4855,7943,6460,5751,5834,6817,10182,7717,3719,5153,6871,7043,5653,5709,6131,6556,8328
FUN_013338,241,251,427,221,298,210,302,427,159,103,197,163,164,269,205,140,192,317
FUN_013339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUN_010827,421,393,538,327,412,228,470,532,272,91,298,232,276,304,243,219,267,364
FUN_010826,71,58,105,129,114,99,112,147,119,74,44,85,104,66,108,93,89,97
FUN_010825,61,35,82,65,37,36,65,76,63,36,39,24,30,32,43,56,37,58
FUN_010824,245,207,376,343,356,293,377,451,275,185,235,276,282,271,314,260,273,289
